表4　刑事案件發生數、破獲數及嫌疑犯人數－按案類別,,,,,,,,,,"Table 4. Criminal Cases Known to the Police,
Cases Cleared and Number of Offenders - by Classification",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
單位：件；人,,,,,,,,,,,,,,,,,,"Unit:Cases,Persons",
年別,,,,總計,竊　　盜 Larceny,,,,,贓物,賭博,傷害 Assult,,,"詐欺背信(1)Fraudulent,Breach of Trust",,,重利,妨害自由
,,,,,計,"重大
竊盜","普通
竊盜","汽車
竊盜","機車
竊盜",,,計,重傷害,"一般
傷害",計,詐欺,背信,,
Year,,,,Grand Total,Count,Serious Larceny,General Larceny,Motor Vehicle Theft,Motorcycle Theft,Stolen Property,Gambling,Count,Aggravated Assault,General Assault,Count,Fraudulent,Breach          of Trust,Usury,Interference with Personal Liberty
,,,,,,,,,,,,,,,,,,,
,,破獲數,Offenses Cleared by the Police,"270,882","43,262",16,"31,953","2,161","9,132",173,"4,542","11,674",32,"11,642","22,697","21,678","1,019",462,"7,704"
,,嫌疑犯,Offenders,"291,621","32,028",46,"28,537","1,109","2,336",175,"9,988","16,180",69,"16,111","28,169","27,237",932,621,"9,731"
"民國108年
2019","╭
｜
﹤
｜
╰",發生數,Offenses Known to the Police,"268,349","42,272",33,"34,725","1,456","6,058",115,"4,858","13,213",20,"13,193","24,642","23,647",995,669,"8,990"
,,破獲數,Offenses Cleared by the Police,"258,706","40,406",32,"32,327","1,377","6,670",115,"4,858","12,856",23,"12,833","22,883","21,936",947,658,"8,553"
,,嫌疑犯,Offenders,"277,664","31,398",83,"28,705",694,"1,916",121,"9,792","18,381",51,"18,330","30,469","29,581",888,962,"10,921"
"民國109年
2020","╭
｜
﹤
｜
╰",發生數,Offenses Known to the Police,"259,713","37,016",30,"31,469","1,006","4,511",112,"3,175","12,666",21,"12,645","24,607","23,054","1,553","1,200","9,994"
,,破獲數,Offenses Cleared by the Police,"253,741","36,597",29,"30,336","1,020","5,212",112,"3,175","12,355",21,"12,334","24,122","22,647","1,475","1,185","9,459"
,,嫌疑犯,Offenders,"281,811","29,128",71,"26,813",610,"1,634",120,"8,555","16,330",34,"16,296","35,091","33,631","1,460","1,642","11,633"
"民國110年
2021","╭
｜
﹤
｜
╰",發生數,Offenses Known to the Police,"243,082","35,067",16,"30,040",821,"4,190",73,"2,513","12,717",31,"12,686","26,068","24,724","1,344",614,"11,950"
,,破獲數,Offenses Cleared by the Police,"240,177","34,826",18,"29,592",819,"4,397",73,"2,513","12,620",30,"12,590","25,815","24,484","1,331",613,"11,809"
,,嫌疑犯,Offenders,"265,221","27,929",26,"25,912",506,"1,485",86,"6,339","16,185",85,"16,100","37,335","36,002","1,333",903,"14,217"
"民國111年
2022","╭
｜
﹤
｜
╰",發生數,Offenses Known to the Police,"265,518","37,670",28,"33,013",676,"3,953",67,"3,135","13,972",24,"13,948","30,876","29,509","1,367",856,"14,438"
,,破獲數,Offenses Cleared by the Police,"256,733","36,603",25,"31,872",679,"4,027",67,"3,135","13,435",25,"13,410","30,026","28,718","1,308",845,"13,669"
,,嫌疑犯,Offenders,"291,891","31,139",48,"29,301",488,"1,302",80,"6,853","17,303",42,"17,261","46,690","45,540","1,150","1,239","16,358"
